customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
29,2026-09-14 15:52:39,,P,Outage,-72.74215764977801,45.49918917069868,N,NA,,NA,8581,,20260914202016,2026-09-15 00:35:30
34,2026-09-14 14:47:00,,P,Outage,-73.25204858877144,45.30327209065017,R,Crew en route,,NA,7110,,20260914202016,2026-09-15 00:35:30
25,2026-09-14 17:55:20,2026-09-14 21:15:00,P,Outage,-73.68597466341525,46.046275300870995,L,Crew at work,44,Accident or incident,5458,,20260914202016,2026-09-15 00:35:30
1,2026-09-14 16:59:32,,P,Outage,-79.22393393645248,48.63189118096847,L,Crew at work,11,Equipment failure,5149,,20260914202016,2026-09-15 00:35:30
107,2026-09-14 09:27:18,2026-09-14 22:45:00,I,Interruption,-73.63922038800193,45.57136509558128,L,Crew at work,61,NA,1000,,20260914202016,2026-09-15 00:35:30
1,2026-09-14 19:11:10,2026-09-14 22:15:00,P,Outage,-79.35398607303544,47.233348835612176,L,Crew at work,54,Accident or incident,6510,,20260914202016,2026-09-15 00:35:30
879,2026-09-14 19:24:48,2026-09-14 21:15:00,P,Outage,-73.54936806901361,45.58605494375652,R,Crew en route,44,Accident or incident,1000,,20260914202016,2026-09-15 00:35:30
2135,2026-09-14 20:10:58,,P,Outage,-73.30050343222958,45.456661468302535,N,NA,,NA,1718,,20260914202016,2026-09-15 00:35:30
17,2026-09-14 20:08:22,,P,Outage,-74.03882208254528,45.4229821835962,N,NA,,NA,9347,,20260914202016,2026-09-15 00:35:30
13,2026-09-14 14:53:29,2026-09-14 22:45:00,P,Outage,-70.88378004810677,47.07439128161582,L,Crew at work,51,Vegetation damage,6690,,20260914202016,2026-09-15 00:35:30
1,2026-09-14 18:07:20,,P,Outage,-79.1982325160727,48.75581469377002,R,Crew en route,,NA,4479,,20260914202016,2026-09-15 00:35:30
2,2026-09-14 18:09:12,,P,Outage,-73.71212110155253,46.05959231764313,N,NA,,NA,5458,,20260914202016,2026-09-15 00:35:30
188,2026-09-14 19:09:50,2026-09-14 22:15:00,P,Outage,-71.69621573956347,46.75816395281342,L,Crew at work,11,Equipment failure,5317,,20260914202016,2026-09-15 00:35:30
5,2026-09-14 13:17:39,2026-09-14 21:15:00,P,Outage,-72.5203679948317,45.128537716094705,A,Work assigned,42,Accident or incident,9106,,20260914202016,2026-09-15 00:35:30
1,2026-09-14 13:29:32,,P,Outage,-72.5239364277616,45.564737945188895,N,NA,,NA,5653,,20260914202016,2026-09-15 00:35:30
