customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
2,2026-06-28 16:07:30,2026-06-28 23:45:00,P,Outage,-71.11172415304317,45.61896947560584,A,Work assigned,,NA,4650,,20260628220017,2026-06-29 02:08:26
3,2026-06-28 21:49:13,,P,Outage,-73.92979149853996,45.5313656888561,A,Work assigned,,NA,8887,,20260628220017,2026-06-29 02:08:26
5,2026-06-28 16:47:19,2026-06-29 00:00:00,P,Outage,-71.29144394321119,46.107737780354206,A,Work assigned,,NA,9169,,20260628220017,2026-06-29 02:08:26
4,2026-06-28 16:47:20,2026-06-29 00:00:00,P,Outage,-71.29190055420175,46.10738371004483,A,Work assigned,,NA,9169,,20260628220017,2026-06-29 02:08:26
52,2026-06-28 19:13:28,,P,Outage,-72.37112281866824,46.0736786317601,N,NA,,NA,7389,,20260628220017,2026-06-29 02:08:26
4,2026-06-28 21:04:52,2026-06-28 23:00:00,P,Outage,-73.72681775087891,45.62778324988757,N,NA,,NA,1164,,20260628220017,2026-06-29 02:08:26
55,2026-06-28 20:10:35,2026-06-28 22:15:00,P,Outage,-71.8155387966732,45.361249142211776,R,Crew en route,,NA,4347,,20260628220017,2026-06-29 02:08:26
3,2026-06-28 17:56:23,,P,Outage,-73.51710174015626,46.313550820943014,N,NA,,NA,6426,,20260628220017,2026-06-29 02:08:26
9,2026-06-28 13:52:49,,P,Outage,-75.66935473024456,45.48499493434558,A,Work assigned,,NA,2375,,20260628220017,2026-06-29 02:08:26
87,2026-06-28 19:12:16,2026-06-28 23:00:00,P,Outage,-72.60020501185373,46.23412182828425,L,Crew at work,,NA,4914,,20260628220017,2026-06-29 02:08:26
50,2026-06-28 16:54:52,2026-06-28 22:30:00,P,Outage,-72.68408472504487,46.62492104591357,R,Crew en route,,NA,2435,,20260628220017,2026-06-29 02:08:26
4,2026-06-28 16:39:42,2026-06-28 23:15:00,P,Outage,-72.84854543904291,46.07342563603986,A,Work assigned,58,Equipment failure,6756,,20260628220017,2026-06-29 02:08:26
3,2026-06-28 17:53:48,,P,Outage,-73.83453126163286,46.75847963831214,R,Crew en route,,NA,7671,,20260628220017,2026-06-29 02:08:26
9,2026-06-28 18:54:30,,P,Outage,-72.60178368334213,46.333917158370575,R,Crew en route,,NA,9239,,20260628220017,2026-06-29 02:08:26
1,2026-06-28 14:05:28,2026-06-28 23:15:00,P,Outage,-71.88095310431488,46.728271121664584,N,NA,,NA,5046,,20260628220017,2026-06-29 02:08:26
2,2026-06-28 17:04:31,2026-06-28 23:15:00,P,Outage,-73.36038564841503,45.32983339314611,L,Crew at work,,NA,3798,,20260628220017,2026-06-29 02:08:26
