customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
130,2026-08-24 16:36:14,2026-08-24 21:15:00,P,Outage,-72.21535208917551,46.46681118809048,N,NA,,NA,7935,,20260824203018,2026-08-25 00:44:22
10,2026-08-24 16:36:14,2026-08-24 21:15:00,P,Outage,-72.20288001902146,46.50788536722115,N,NA,,NA,7935,,20260824203018,2026-08-25 00:44:22
43,2026-08-24 16:36:14,2026-08-24 21:15:00,P,Outage,-72.20399073827507,46.504617310712106,N,NA,,NA,7935,,20260824203018,2026-08-25 00:44:22
29,2026-08-24 16:36:14,2026-08-24 21:15:00,P,Outage,-72.19869096534846,46.49526253793577,N,NA,,NA,7935,,20260824203018,2026-08-25 00:44:22
1,2026-08-24 19:48:23,2026-08-24 21:45:00,P,Outage,-73.57951749409843,45.97681552664636,N,NA,,NA,5811,,20260824203018,2026-08-25 00:44:22
86,2026-08-24 18:21:10,,P,Outage,-79.25269846460215,46.99817329179163,N,NA,,NA,4185,,20260824203018,2026-08-25 00:44:22
23,2026-08-24 14:49:50,2026-08-24 22:15:00,P,Outage,-75.85309419018813,45.393908492424096,A,Work assigned,,NA,1185,,20260824203018,2026-08-25 00:44:22
1,2026-08-24 14:29:41,2026-08-24 23:15:00,P,Outage,-71.7875466688207,46.864789199324804,L,Crew at work,33,Accident or incident,7980,,20260824203018,2026-08-25 00:44:22
180,2026-08-24 19:43:19,2026-08-24 21:45:00,P,Outage,-66.81748733868648,54.80566996275847,N,NA,,NA,5714,,20260824203018,2026-08-25 00:44:22
810,2026-08-24 19:43:19,2026-08-24 21:45:00,P,Outage,-66.79610977812001,54.82873525179416,N,NA,,NA,5714,,20260824203018,2026-08-25 00:44:22
17,2026-08-24 17:43:45,2026-08-24 22:00:00,P,Outage,-71.98319029862024,46.054439553522926,A,Work assigned,,NA,9359,,20260824203018,2026-08-25 00:44:22
63,2026-08-24 20:02:20,2026-08-24 21:45:00,P,Outage,-71.21214903730313,46.814476161717785,R,Crew en route,,NA,5410,,20260824203018,2026-08-25 00:44:22
69,2026-08-24 19:42:20,2026-08-24 22:15:00,P,Outage,-68.55630236723333,47.9717656890651,L,Crew at work,51,Vegetation damage,1404,,20260824203018,2026-08-25 00:44:22
51,2026-08-24 15:30:52,2026-08-24 21:15:00,P,Outage,-73.21417389811305,46.529845787036095,L,Crew at work,51,Vegetation damage,5907,,20260824203018,2026-08-25 00:44:22
69,2026-08-24 16:43:36,2026-08-24 23:15:00,P,Outage,-71.0718782261796,46.620352426208655,L,Crew at work,,NA,7062,,20260824203018,2026-08-25 00:44:22
96,2026-08-24 16:04:05,2026-08-24 22:15:00,P,Outage,-71.11441289292297,46.5275468110528,L,Crew at work,51,Vegetation damage,7629,,20260824203018,2026-08-25 00:44:22
8,2026-08-24 18:04:50,2026-08-24 21:45:00,P,Outage,-70.25655346019882,47.22300565044797,R,Crew en route,,NA,7182,,20260824203018,2026-08-25 00:44:22
16,2026-08-24 19:37:09,2026-08-24 21:30:00,P,Outage,-73.6098068613492,45.5653446133563,R,Crew en route,,NA,1000,,20260824203018,2026-08-25 00:44:22
355,2026-08-24 16:27:31,,P,Outage,-71.14344317799342,46.541597065085604,A,Work assigned,,NA,7062,,20260824203018,2026-08-25 00:44:22
2,2026-08-24 15:59:26,2026-08-25 00:15:00,P,Outage,-71.23830325657656,46.486557072574456,N,NA,,NA,7698,,20260824203018,2026-08-25 00:44:22
1,2026-08-24 18:21:38,,P,Outage,-72.2045483103961,46.506334761131114,N,NA,,NA,7935,,20260824203018,2026-08-25 00:44:22
1,2026-08-24 20:17:37,,P,Outage,-72.93731536683596,46.913554447162134,R,Crew en route,,NA,9662,,20260824203018,2026-08-25 00:44:22
1,2026-08-24 17:52:38,2026-08-24 21:30:00,P,Outage,-74.1617673508487,45.739882016903785,R,Crew en route,,NA,6357,,20260824203018,2026-08-25 00:44:22
3,2026-08-24 15:27:08,2026-08-24 21:15:00,P,Outage,-71.48282641036025,46.323534653602216,R,Crew en route,,NA,8410,,20260824203018,2026-08-25 00:44:22
3,2026-08-24 15:58:30,2026-08-24 23:15:00,P,Outage,-71.21298418194532,46.49498414727167,N,NA,,NA,7698,,20260824203018,2026-08-25 00:44:22
1,2026-08-24 19:32:43,2026-08-24 21:30:00,P,Outage,-72.20288640381968,46.502017005459216,N,NA,,NA,7935,,20260824203018,2026-08-25 00:44:22
306,2026-08-24 16:16:51,2026-08-25 01:15:00,P,Outage,-71.7178654708713,45.4495698890184,L,Crew at work,,NA,2201,,20260824203018,2026-08-25 00:44:22
1,2026-08-24 15:46:51,2026-08-24 21:15:00,P,Outage,-73.13780394254913,45.104292649183265,N,NA,,NA,8068,,20260824203018,2026-08-25 00:44:22
4,2026-08-24 18:14:48,,P,Outage,-69.95293954387552,47.29004825905442,L,Crew at work,,NA,7758,,20260824203018,2026-08-25 00:44:22
2,2026-08-24 15:51:18,2026-08-24 23:15:00,P,Outage,-69.83405576423013,47.077896792752476,N,NA,,NA,8935,,20260824203018,2026-08-25 00:44:22
411,2026-08-24 17:42:52,2026-08-25 00:00:00,I,Interruption,-73.89011705841993,45.96571103196474,L,Crew at work,60,NA,5790,,20260824203018,2026-08-25 00:44:22
5,2026-08-24 17:53:57,2026-08-24 21:15:00,P,Outage,-70.15235188504333,47.77964149248372,R,Crew en route,,NA,3930,,20260824203018,2026-08-25 00:44:22
1,2026-08-24 17:37:30,,P,Outage,-70.3846769942543,46.38202920663299,A,Work assigned,,NA,8800,,20260824203018,2026-08-25 00:44:22
