customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
1,2026-09-21 14:57:46,2026-09-21 22:15:00,P,Outage,-74.21786403005221,46.032429049065286,L,Crew at work,11,Equipment failure,9272,,20260921214004,2026-09-22 01:52:41
1,2026-09-21 20:47:56,2026-09-21 22:45:00,P,Outage,-77.71599154081629,48.15596781207148,A,Work assigned,,NA,9296,,20260921214004,2026-09-22 01:52:41
82,2026-09-21 18:29:01,2026-09-21 22:30:00,P,Outage,-72.7457352887024,45.212937049876714,R,Crew en route,,NA,1982,,20260921214004,2026-09-22 01:52:41
27,2026-09-21 19:01:56,2026-09-22 02:00:00,P,Outage,-73.15435120744786,45.436172164024555,L,Crew at work,54,Accident or incident,4563,,20260921214004,2026-09-22 01:52:41
5,2026-09-21 20:28:10,2026-09-21 22:15:00,P,Outage,-78.94918210967084,48.199531085402846,L,Crew at work,54,Accident or incident,5647,,20260921214004,2026-09-22 01:52:41
1149,2026-09-21 17:26:22,2026-09-22 00:15:00,I,Interruption,-69.20674395193356,47.78604975431237,L,Crew at work,60,NA,7008,,20260921214004,2026-09-22 01:52:41
92,2026-09-21 20:07:33,2026-09-21 22:15:00,I,Interruption,-71.05606308982551,48.40279435371401,L,Crew at work,62,NA,1850,,20260921214004,2026-09-22 01:52:41
25,2026-09-21 20:06:56,2026-09-21 22:15:00,P,Outage,-75.36782216866081,46.73632789066636,A,Work assigned,,NA,4710,,20260921214004,2026-09-22 01:52:41
3,2026-09-22 01:47:21,2026-09-22 03:45:00,P,Outage,-73.56860954445378,45.868106841252775,A,Work assigned,,NA,5829,,20260922025020,2026-09-22 06:58:42
6,2026-09-22 01:41:40,2026-09-22 03:45:00,P,Outage,-73.74853049636684,45.30406659061171,R,Crew en route,,NA,4635,,20260922025020,2026-09-22 06:58:42
2,2026-09-21 21:39:08,,P,Outage,-72.49757663296077,46.2886175865,L,Crew at work,53,Animal damage,1314,,20260922025020,2026-09-22 06:58:42
27,2026-09-22 01:53:26,2026-09-22 04:00:00,P,Outage,-73.94998557958587,45.446148120628834,R,Crew en route,,NA,0297,,20260922025020,2026-09-22 06:58:42
20,2026-09-22 01:25:44,2026-09-22 03:30:00,P,Outage,-73.65567927116034,45.44291999759482,R,Crew en route,,NA,0105,,20260922025020,2026-09-22 06:58:42
