customers_affected,notice_id,planned_start,planned_end,actual_start,actual_end,longitude,latitude,aip_version,pulled_at
18,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
184514,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
NA,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
NA,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
NA,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
NA,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
NA,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
NA,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
NA,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
NA,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
62,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
40,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
51,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
60013,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
NA,NA,NA,NA,NA,NA,NA,NA,20260825203008,2026-08-26 00:47:50
NA,NA,NA,NA,NA,NA,-73.49979101343088,45.76467579796513,20260825203008,2026-08-26 00:47:50
